BSR;G6;Guine Bissaur Airlines
BSS;;Bissau Aero Transporte
BST;;Best Air
BSW;;Blue Sky Airways
BSY;GQ;Big Sky Airlines
BTC;V9;BAL Bashkirian Airlines
BTH;;Baltijas Helicopters
BTI;BT;Air Baltic
BTK;;Batik Air Indonesia
BTK;;Baltyka
BTL;BQ;Baltia Air Lines
BTP;;Veritair Ltd
BTR;;Botir-Avia
BTS;;Aerotaxis Albatros
BTT;;BT-Slavuta
BTU;;Rolls-Royce plc
BTV;Y6;Batavia Air
BTZ;L9;Bristow U.S. LLC
BUB;ZB;Air Bourbon
BUC;1T;Bulgarian Air Charter
BUE;;Orebro Aviation
BUL;;Blue Airlines
BUN;BU;Buryat Airlines Aircompany
BUZ;;Buzz Stansted
BVA;;Buffalo Airways
BVC;;Bulgarian Aeronautical Centre
BVN;;Baron Aviation Services
BVR;;ACM Air Charter
BVT;J8;Berjaya Air
BVU;;Bellview Airlines, Sierra Leone
BVV;;Sparc Avia
BWA;BW;Caribbean Airlines
BWD;;Bluewest Helicopters-Greenland
BWG;QW;Blue Wings
BWI;;Blue Wing Airlines
BWL;;British World Airlines
BWY;;Fleet Requirements Air Direction Unit
BXA;;Bahrain Executive Air Services
BXH;;Bar XH Air
BXI;SN;Brussels International Airlines
BXJ;;Brixtel Group
BYA;;Berry Aviation
BYC;;Northern Airlines Sanya
BYE;;Bayu Indonesia Air
BYF;;San Carlos Flight Center
BYF;;San Carlos Flight Center
BYG;;Bygone Aviation
BYL;;Bylina Joint-Stock Company
BYR;;Berytos Airlines
BYT;;Patriot Aviation Limited
BZA;;Bizair Fluggesellschaft
BZD;;Canadian Global Air Ambulance
BZE;;Zenith Aviation
BZF;;Jet Aviation Business Jets
BZH;DB;Brit Air
BZQ;;Seneca College
BZS;;Aero Biniza
BZY;;Fresh Air Aviation
BZZ;;Butane Buzzard Aviation Corporation
CAA;;Civil Aviation Authority of the Czech Republic
CAB;;Chesapeake Air Service
CAC;;Conquest Airlines
CAD;;Chilliwack Aviation
CAE;;Colibri Aviation
CAG;;China National Aviation Corporation
CAH;;Charlan Air Charter
CAI;XC;Corendon Airlines
CAJ;;Air Caraibes Atlantique
CAK;;Congo Air
CAL;CI;China Airlines
CAM;R9;Camai Air
CAN;;Crest Aviation
CAO;;Air China Cargo
CAP;;Civil Air Patrol
CAQ;;Cityair (Chester) Limited
CAR;;Inter RCA
CAS;;Christman Air System
CAT;CT;Civil Air Transport
CAT;YD;Cologne Air Transport GmbH
CAT;;Copenhagen Air Taxi
CAV;MO;Calm Air
CAW;MN;Comair
CAX;;Central Air Express
CAY;KX;Cayman Airways
CAZ;;Cat Aviation
CBA;;Civil Aviation Inspectorate of the Czech Republic
CBB;;Cheboksary Airenterprise JSC
CBC;;Caribair
CBD;;Lockheed Martin Aeronautics
CBE;;Aerovías Caribe
CBF;CJ;China Northern Airlines
CBH;;Corporate Eagle Management Services
CBI;;Cabi
CBL;;Cumberland Airways (Nicholson Air Service)
CBM;;Cherokee Express
CBN;;"Southern Illinois University as ""Aviation Flight"""
CBN;;Swedish Civil Aviation Administration
CBO;;Aerotaxi del Cabo
CBR;;Cabair College of Air Training
CBS;;Air Columbus
CBT;;Catalina Flying Boats
CBV;;Aereo Cabo
CBY;;RAF Coningsby
CCA;CA;Air China
CCB;;Caricom Airways
CCE;;Cairo Air Transport Company
CCF;;CCF Manager Airline
CCG;3B;Central Connect Airlines
CCH;;Chilchota Taxi Aéreo
CCI;PT;Capital Cargo International Airlines
CCK;;Flight Trac
CCL;;Cambodia Airlines
CCM;;Air Corsica
CCM;XK;Corse Méditerranée
CCP;MG;Champion Air
CCQ;;Capital City Air Carriers
CCT;;Connect Air
CCV;;Centro De Helicopteros Corporativos
CCW;CQ;Central Charter
CCX;;Colt International
CCY;;Cherry Air
CDA;;Aerocardal
CDC;GJ;CDI Cargo Airlines
CDC;;Zhejiang Loong Airlines
CDE;;Comed Group
CDG;SC;Shandong Airlines
CDI;;Cards Air Services
CDL;;Sunbird Airlines
CDM;;Carga Aérea Dominicana
CDN;CP;Canadian Airlines
CDN;;Canadian Helicopters
CDP;Q6;Aero Condor Peru
CDR;;Canadian Regional Airlines
CDS;;Spectrem Air
CDT;;Real Aero Club de Reus-Costa Dorado
CDU;;Aerotrans
CDV;;Airline Skol
CDY;;Heliaviation Limited
CEA;3C;RegionsAir
CEB;5J;Cebu Pacific
CEC;;Celtic Airways
CED;;CEDTA (Compañía Ecuatoriana De Transportes Aéreos)
CEE;;Servicios Aéreos Centrales
CEF;;Czech Air Force
CEG;;Cega Aviation
CEM;;Central Mongolia Airways
CEP;;Chipola Aviation
