id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
238817,2772,FABL,8396,151,ASP,2,-29.1051,26.3023,360,,20,-29.082,26.3025,4421,180,
236959,4422,LLNV,8395,70,ASP,08R,31.2,34.9963,77,,26L,31.2052,35.0225,1426,257,
239588,2462,EGPH,8386,150,ASP,6,55.944,-3.39014,59,700,24,55.9559,-3.35506,100,239,700
234399,90,LB22,8380,70,ASP,7,42.3081,23.2322,71.7,,25,42.3153,23.2616,,251.7,
238972,3243,HSLI,8375,175,ASP,6,11.1327,29.6907,62.6,,24,11.1433,29.7115,1829,242.6,
245352,3727,KNGU,8369,200,ASP,10,36.9375,-76.3036,90,299,28,36.9375,-76.275,13,270,995
233634,2157,EBCI,8366,148,ASP,6,50.4554,4.43664,66,1477,24,50.4647,4.46944,583,246,
236431,3991,LDSP,8366,148,ASP,5,43.5321,16.2856,53,,23,43.546,16.3106,50,233,525
336332,4021,LEMH,8366,148,ASP,1,,,8,,19,,,303,188,
235962,4211,LFRG,8366,148,ASP,12,49.3705,0.138714,117,1476,30,49.3601,0.169933,466,297,1378
237565,4572,LWOH,8366,140,ASP,2,41.169,20.7377,18,,20,41.1908,20.7469,2313,198,
237771,4758,MMTM,8366,148,ASP,13,22.302,-97.8741,145,,31,22.2832,-97.8599,80,325,
232957,5828,SAVV,8366,148,ASP,10,-40.867,-63.0111,105.6,,28,-40.8731,-62.982,16,285.6,
233789,5879,SBCB,8366,148,ASP,10,-22.9238,-42.0839,,,28,-22.919,-42.0597,,,
237014,4356,LIPI,8365,144,ASP,6,45.9735,13.0351,59,,24,45.9853,13.0633,179,239,
235460,2562,EKYT,8363,74,ASP,08R,57.0919,9.83547,83.3,,26L,57.0946,9.87724,10,263.3,
238557,26412,UWWW,8360,197,ASP,5,53.4984,50.1349,61.8,,23,53.5094,50.1693,410,241.8,
242503,3882,KSHV,8351,200,ASP,14,32.4538,-93.8349,143,,32,32.4356,-93.8185,220,323,375
243043,21052,KSEQ,8350,150,ASP,13,29.5736,-97.9181,132.5,,31,29.5581,-97.8986,520,312.5,
234350,5905,SBFZ,8350,148,ASP,13,,,105,,31,,,65,285,
236855,5147,OIBS,8345,175,ASP,12,25.9162,54.5294,127.7,4160,30,25.9021,54.5495,12,307.7,
244787,21033,KSAF,8342,150,ASP,2,35.6084,-106.096,35.1,,20,35.6271,-106.08,6348,215.1,
237586,3069,GAMB,8340,94,ASP,5,14.505,-4.08823,47,,23,14.5205,-4.07088,901,227,
237012,4371,LIRE,8335,148,ASP,13,41.6611,12.4328,130.1,530,31,41.6464,12.4562,38,310.1,
234312,5869,SBBH,8333,148,ASP,13,,,,,31,,,,,
236737,26455,VAPO,8329,150,ASP,10,18.5829,73.9063,94,,28,18.5814,73.9303,,274,
234844,1813,CYMJ,8326,150,ASP,11L,50.3379,-105.575,118.5,,29R,50.327,-105.543,1880,298.5,
252295,31768,UACK,8325,125,ASP,2,53.3194,69.5846,32,,20,53.3388,69.6047,,212,
243901,3430,KBTV,8320,150,ASP,15,44.4807,-73.1659,131,,33,44.4658,-73.1418,334,311,500
244071,20882,KPUC,8319,100,ASP,18,39.6266,-110.746,199,,36,39.6049,-110.755,5808,19,
241426,3794,KPUB,8308,150,ASP,17,38.3042,-104.504,178.3,,35,38.2814,-104.503,4645,358.3,
239089,6348,OS66,8305,150,ASP,10,36.1891,37.5694,100,,28,36.1851,37.597,,280,
243110,3663,KMAF,8302,150,ASP,10,31.9476,-102.216,113.6,,28,31.9385,-102.192,2853,293.6,692
233603,5079,OBBI,8302,148,ASP,12R,26.271,50.6299,123,1000,30L,26.2587,50.6513,6,303,395
241975,3591,KHRL,8301,150,ASP,17R,26.2404,-97.6586,180.6,,35L,26.2176,-97.6589,36,0.6,
234809,1957,CYXE,8300,200,ASP,9,52.1785,-106.718,101,,27,52.1742,-106.682,1642,281,
237841,2973,FQLC,8300,148,ASP,8,-13.2778,35.2553,71,,26,-13.2702,35.2773,4482,251,
242147,19243,KAEJ,8300,75,ASP,15,38.825,-106.125,162.2,,33,38.8033,-106.116,7899,342.2,
244841,3881,KSHR,8300,100,ASP,14,44.777,-106.988,156.3,,32,44.7562,-106.975,3976,336.3,
233266,27145,YSSY,8300,148,ASP,7,-33.9437,151.164,74,,25,-33.9375,151.19,20,254,324
238920,4004,LEBL,8294,147,ASP,2,41.2878,2.08484,19,131,20,41.3094,2.09471,12,199,
308206,308204,SBZM,8284,148,ASP,8,,,,,26,,,,,
260569,35836,SDZY,8284,148,ASP,8,,,,,26,,,,,
238980,2692,ESNY,8281,131,ASP,12,61.2687,17.0809,129.6,,30,61.2543,17.1172,60,309.6,228
245473,3400,KBFF,8279,150,ASP,12,41.8823,-103.605,136,,30,41.8661,-103.584,3944,316,
233664,4951,MYNN,8273,150,ASP,9,25.0359,-77.482,90,,27,25.0361,-77.4569,13,270,
246092,6309,SVPA,8272,140,ASP,4,5.61017,-67.6119,30,,22,5.62981,-67.6003,244,210,
234776,1834,CYOD,8270,200,ASP,4,54.3967,-110.285,52,,22,54.4106,-110.255,1767,232,
245222,3463,KCOS,8269,150,ASP,12,38.8232,-104.715,135.1,,30,38.8071,-104.695,6135,315.1,355
317262,317261,CO-0054,8268,66,ASP,7,11.4932,-72.9993,61,,25,11.5043,-72.9791,21,241,
239059,2687,ESNS,8268,148,ASP,10,64.6274,21.0558,106,,28,64.6221,21.098,125,286,
244791,19530,KCOD,8268,100,ASP,4,44.5133,-109.036,52.3,690,22,44.5271,-109.011,5076,232.3,400
241425,3794,KPUB,8268,150,ASP,12,38.3042,-104.504,133,,30,38.2887,-104.482,4654,313,
235886,4123,LFKB,8266,148,ASP,16,42.5635,9.47919,163,,34,42.5418,9.48827,26,343,
238140,6213,SPHI,8266,148,ASP,1,-6.79868,-79.8295,7,,19,-6.77627,-79.8267,97,187,
236018,4198,LFQI,8264,164,ASP,10,50.2226,3.13664,94.2,,28,50.221,3.17184,243,274.2,
239301,4547,LTBY,8261,98,ASP,9,39.8105,30.5047,93,,27,39.8094,30.5341,2580,273,
239498,2491,EGUY,8255,200,ASP,9,52.3552,-0.124553,83,,27,52.3581,-0.087928,104,263,
238975,2695,ESOK,8255,148,ASP,3,59.4345,13.3278,25.6,,21,59.4549,13.347,352,205.6,
236604,26625,VOSX,8255,148,ASP,5,11.0061,77.151,48.9,,23,11.021,77.1684,,228.9,
237430,2766,EYVI,8251,164,ASP,1,54.6237,25.2785,22,,19,54.6446,25.2931,646,202,
234373,5923,SBJP,8251,148,ASP,16,,,,,34,,,,,
233391,26908,YBHI,8251,98,ASP,5,-32.009,141.461,56,,23,-31.9963,141.483,958,236,
245196,21045,KSDL,8249,100,ASP,3,33.6147,-111.92,43.8,740,21,33.631,-111.901,1507,223.8,400
235608,2376,HE36,8241,148,ASP,15,30.4165,33.1468,146,,33,30.3977,33.1615,,326,495
238609,26406,UWKS,8241,161,ASP,6,56.0868,47.3281,71.8,,24,56.0938,47.3664,522,251.8,
237533,2907,FMMA,8237,148,ASP,12,-19.0257,47.1604,106,,30,-19.0323,47.1832,4738,286,
236774,26448,VAJM,8236,148,ASP,12,22.471,70.0008,116,,30,22.4609,70.0225,64,296,
237400,6433,UASK,8234,138,ASP,12,50.0439,82.4809,130.6,,30,50.0293,82.5075,938,310.6,
239230,26882,WPEC,8233,182,ASP,14,-8.47647,126.392,142,,32,-8.4944,126.406,1777,322,
